时间,股票代码(IF1601),前收(20160104)(IF1601),开盘价(IF1601),最高价(IF1601),最低价(IF1601),收盘价(IF1601),昨收(IF1601),跌停价(20160104)(IF1601),涨停价(20160104)(IF1601),成交量(IF1601),成交金额(IF1601),持仓量(IF1601),结算价(IF1601),前结算价(IF1601),卖一价(IF1601),卖二价(IF1601),卖三价(IF1601),卖四价(IF1601),卖五价(IF1601),买一价(IF1601),买二价(IF1601),买三价(IF1601),买四价(IF1601),买五价(IF1601),卖一量(IF1601),卖二量(IF1601),卖三量(IF1601),卖四量(IF1601),卖五量(IF1601),买一量(IF1601),买二量(IF1601),买三量(IF1601),买四量(IF1601),买五量(IF1601)
2016-01-04 13:34:11,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:12,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:12,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:13,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:13,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:14,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:14,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:15,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:15,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:16,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:16,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:17,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:17,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:18,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:18,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:19,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:19,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:20,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:20,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-01-04 13:34:21,IF1601,3658.2,3425,3425,3425,3425,3425,3415.6,3930,0,0,0,0,3672.8,3424.6,0,0,0,0,3423.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
